               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.024417,           0.0096443,            0.025497,             0.84263,             0.85325,              0.9035,             0.70701,             0.01556,           0.0029036,           0.0084148,           0.0080398,           0.0080398,           0.0080398
                 101,            0.023234,             0.00893,             0.02445,             0.83159,             0.85712,             0.92316,             0.68896,            0.013997,           0.0031226,            0.007685,             0.00802,             0.00802,             0.00802
                 102,            0.025057,            0.009281,            0.026372,             0.73623,             0.89732,             0.89973,             0.71551,            0.011408,           0.0028662,           0.0086195,           0.0080002,           0.0080002,           0.0080002
                 103,            0.023013,           0.0091158,            0.024992,             0.84049,             0.83211,             0.90216,             0.68988,            0.012608,           0.0027484,            0.009787,           0.0079804,           0.0079804,           0.0079804
                 104,            0.023903,           0.0097707,            0.026282,              0.8716,             0.85884,             0.92961,             0.71452,            0.014392,           0.0028979,           0.0069268,           0.0079606,           0.0079606,           0.0079606
                 105,            0.023584,             0.00952,            0.026589,              0.7817,             0.82887,             0.90935,             0.69477,            0.013967,           0.0029608,           0.0090107,           0.0079408,           0.0079408,           0.0079408
                 106,            0.024655,           0.0093328,            0.025496,             0.86739,             0.79477,             0.90663,             0.70828,            0.014101,           0.0027679,           0.0089187,            0.007921,            0.007921,            0.007921
                 107,            0.023571,           0.0098787,             0.02349,             0.88111,              0.7483,             0.87884,             0.67593,            0.014217,            0.002844,           0.0089797,           0.0079012,           0.0079012,           0.0079012
                 108,            0.023189,           0.0089928,            0.024111,             0.83556,             0.86888,             0.90872,             0.72157,            0.013353,           0.0027501,           0.0071463,           0.0078814,           0.0078814,           0.0078814
                 109,            0.022019,           0.0089865,            0.023188,             0.77262,             0.87006,              0.9152,             0.72305,            0.014331,            0.002814,           0.0077862,           0.0078616,           0.0078616,           0.0078616
                 110,             0.02304,           0.0088457,            0.023366,             0.84271,             0.81628,             0.90572,              0.7064,            0.013143,           0.0027807,           0.0081701,           0.0078418,           0.0078418,           0.0078418
                 111,            0.021918,            0.009286,            0.023076,             0.84748,             0.84612,             0.89657,             0.72782,            0.011793,           0.0027092,           0.0077939,            0.007822,            0.007822,            0.007822
                 112,            0.022297,           0.0091627,            0.021157,             0.82862,              0.8367,             0.90659,             0.71908,             0.01277,           0.0027956,           0.0098703,           0.0078022,           0.0078022,           0.0078022
                 113,            0.022958,           0.0095082,            0.024431,             0.79613,             0.84039,             0.90881,             0.71477,            0.013159,           0.0029539,           0.0096382,           0.0077824,           0.0077824,           0.0077824
                 114,            0.023102,           0.0095732,            0.023202,             0.85643,             0.83032,             0.90082,             0.69684,            0.013569,           0.0030406,            0.009393,           0.0077626,           0.0077626,           0.0077626
                 115,            0.024005,           0.0091752,            0.024036,             0.85745,             0.83385,             0.90975,             0.71932,             0.01341,           0.0026564,           0.0083332,           0.0077428,           0.0077428,           0.0077428
                 116,            0.024597,           0.0091495,            0.025968,              0.8832,             0.82835,             0.91016,             0.73438,            0.011931,           0.0027032,           0.0070287,            0.007723,            0.007723,            0.007723
                 117,            0.022704,           0.0095584,            0.022413,             0.85434,             0.82892,              0.9109,             0.73472,             0.01126,             0.00269,            0.008771,           0.0077032,           0.0077032,           0.0077032
                 118,            0.023583,           0.0092879,            0.024068,              0.8628,             0.85122,             0.92775,             0.74867,            0.012456,           0.0027109,           0.0065841,           0.0076834,           0.0076834,           0.0076834
                 119,             0.02329,           0.0089667,            0.024371,             0.90172,             0.84399,             0.91778,              0.7407,            0.012058,           0.0026842,           0.0064541,           0.0076636,           0.0076636,           0.0076636
                 120,            0.022606,            0.009109,             0.02003,             0.83317,             0.78459,             0.90084,             0.72043,            0.011758,           0.0029449,            0.010447,           0.0076438,           0.0076438,           0.0076438
                 121,            0.021728,           0.0086448,            0.022136,             0.76916,             0.90726,             0.92589,             0.73413,            0.012074,           0.0027541,           0.0096413,            0.007624,            0.007624,            0.007624
                 122,            0.024893,           0.0092956,            0.022753,             0.86974,             0.81839,             0.88245,             0.71247,            0.012476,           0.0027475,            0.011601,           0.0076042,           0.0076042,           0.0076042
                 123,            0.023382,           0.0092534,            0.023288,             0.70448,             0.85701,             0.89093,             0.70546,            0.013693,           0.0027163,            0.012075,           0.0075844,           0.0075844,           0.0075844
                 124,            0.023797,            0.009201,            0.024622,             0.81609,             0.85781,             0.86916,             0.68852,            0.013223,           0.0028028,           0.0090528,           0.0075646,           0.0075646,           0.0075646
                 125,            0.022224,           0.0092864,            0.022327,             0.77899,             0.87207,             0.89668,             0.70125,            0.012271,           0.0029004,           0.0088892,           0.0075448,           0.0075448,           0.0075448
                 126,            0.021261,           0.0085917,             0.02099,             0.85251,             0.82546,             0.90584,             0.71978,            0.012183,           0.0026962,           0.0097424,            0.007525,            0.007525,            0.007525
                 127,            0.022922,           0.0091949,            0.023699,             0.80169,             0.81676,             0.86766,             0.69143,            0.012082,           0.0026398,            0.011172,           0.0075052,           0.0075052,           0.0075052
                 128,            0.021419,           0.0087666,             0.02149,             0.86444,             0.83915,             0.91838,              0.7266,            0.012337,           0.0026294,            0.010074,           0.0074854,           0.0074854,           0.0074854
                 129,            0.024135,           0.0088373,            0.023683,             0.71792,             0.92355,             0.90452,             0.71093,            0.012449,           0.0026963,            0.011887,           0.0074656,           0.0074656,           0.0074656
                 130,            0.022547,           0.0088487,            0.023428,             0.84705,             0.87269,             0.92378,             0.73601,            0.011962,           0.0025994,           0.0079982,           0.0074458,           0.0074458,           0.0074458
                 131,            0.023935,           0.0090957,             0.02548,             0.87319,             0.82417,             0.91796,             0.73678,            0.012579,           0.0024896,           0.0080628,            0.007426,            0.007426,            0.007426
                 132,            0.023087,           0.0091379,            0.022224,             0.87478,             0.78665,             0.90333,             0.72164,            0.011866,           0.0027504,            0.010911,           0.0074062,           0.0074062,           0.0074062
                 133,            0.023255,           0.0090535,            0.023313,             0.83579,             0.83761,             0.90222,             0.70511,            0.012586,           0.0027656,            0.014078,           0.0073864,           0.0073864,           0.0073864
                 134,            0.022855,           0.0086618,             0.01933,             0.90361,             0.84729,             0.92544,             0.76466,            0.010713,           0.0025638,           0.0061026,           0.0073666,           0.0073666,           0.0073666
                 135,            0.022711,           0.0090617,            0.020341,             0.89247,             0.84513,             0.92834,             0.69746,            0.012636,            0.002709,            0.006365,           0.0073468,           0.0073468,           0.0073468
                 136,            0.023363,           0.0091551,             0.02253,             0.88525,             0.85522,             0.91478,             0.74414,            0.011932,           0.0026755,           0.0076698,            0.007327,            0.007327,            0.007327
                 137,            0.023471,           0.0090079,            0.022477,              0.8936,             0.85336,             0.90418,             0.69572,            0.013362,            0.002792,           0.0076635,           0.0073072,           0.0073072,           0.0073072
                 138,            0.021418,           0.0090229,            0.020806,              0.9011,             0.85336,             0.92587,             0.74769,            0.012792,           0.0026143,           0.0084741,           0.0072874,           0.0072874,           0.0072874
                 139,            0.022238,           0.0090565,            0.021022,             0.88678,              0.8233,             0.92591,             0.74148,            0.011325,           0.0026928,           0.0081769,           0.0072676,           0.0072676,           0.0072676
                 140,            0.022967,           0.0089725,            0.023183,             0.90784,             0.81394,             0.90667,             0.70225,            0.012538,           0.0026627,           0.0068547,           0.0072478,           0.0072478,           0.0072478
                 141,            0.022544,           0.0089094,             0.02165,             0.89683,             0.86316,             0.92073,             0.72166,            0.012124,           0.0025198,           0.0073915,            0.007228,            0.007228,            0.007228
                 142,            0.020603,           0.0087879,            0.020348,              0.8731,             0.84396,             0.92278,             0.74308,            0.011577,           0.0024751,           0.0098318,           0.0072082,           0.0072082,           0.0072082
                 143,            0.021698,           0.0086755,            0.022435,             0.85246,             0.87678,             0.91255,               0.704,             0.01477,           0.0027256,           0.0080166,           0.0071884,           0.0071884,           0.0071884
                 144,            0.022906,           0.0088077,            0.022629,             0.87728,             0.74499,             0.92193,             0.74062,            0.011984,           0.0025577,           0.0095397,           0.0071686,           0.0071686,           0.0071686
                 145,            0.022514,           0.0086197,            0.022558,             0.87358,             0.83064,             0.91644,             0.72899,            0.012972,           0.0026553,           0.0089842,           0.0071488,           0.0071488,           0.0071488
                 146,            0.022032,           0.0087146,            0.021861,             0.86753,             0.87427,             0.93839,             0.72671,             0.01306,           0.0027672,           0.0075341,            0.007129,            0.007129,            0.007129
                 147,            0.021631,           0.0088078,            0.021287,             0.86049,             0.86522,             0.93276,              0.7333,            0.012384,           0.0027452,           0.0077839,           0.0071092,           0.0071092,           0.0071092
                 148,            0.022905,           0.0086894,            0.018794,             0.90836,             0.82455,               0.927,             0.71426,            0.013443,           0.0027879,            0.007561,           0.0070894,           0.0070894,           0.0070894
                 149,            0.021079,           0.0089607,            0.019143,             0.87168,             0.82183,             0.92568,             0.73628,            0.011923,           0.0027724,           0.0073907,           0.0070696,           0.0070696,           0.0070696
                 150,            0.021972,           0.0090972,            0.022223,              0.8066,              0.8421,             0.89174,             0.71186,            0.011671,           0.0024784,            0.007538,           0.0070498,           0.0070498,           0.0070498
                 151,            0.021958,           0.0086719,            0.020985,               0.889,             0.86414,             0.93343,             0.73987,            0.011102,           0.0026549,           0.0068948,             0.00703,             0.00703,             0.00703
                 152,            0.022655,           0.0087444,            0.022942,             0.86512,             0.81762,             0.90345,             0.69106,            0.012928,           0.0028233,           0.0095151,           0.0070102,           0.0070102,           0.0070102
                 153,            0.021898,           0.0088217,            0.019919,             0.83561,             0.79377,             0.90582,             0.69781,            0.012908,           0.0028687,            0.011433,           0.0069904,           0.0069904,           0.0069904
                 154,            0.021989,            0.009013,            0.022173,             0.86833,             0.86736,             0.91217,             0.73758,             0.01209,             0.00282,            0.010001,           0.0069706,           0.0069706,           0.0069706
                 155,            0.021215,           0.0085909,            0.020787,             0.83228,             0.82452,             0.88793,             0.69439,            0.012358,           0.0027179,           0.0099637,           0.0069508,           0.0069508,           0.0069508
